seasons,episode,title,airdate,rating,desc
S8, Ep4,Charlie and Dee Find Love,            1 Nov. 2012    ,8.9,"After invading the world of the wealthy, Charlie and Dee find romance. Not to be left out, Dennis, Frank and Mac try to get in on the action.    "
S8, Ep5,The Gang Gets Analyzed,            8 Nov. 2012    ,8.9,"When Dee gets asked by her therapist to bring in her so called 'issues,' Dee brings in the whole gang. And since they have all been called in, they have their own one on one therapy sessions, while many issues arise.    "
S8, Ep6,Charlie's Mom Has Cancer,            15 Nov. 2012    ,7.7,"Charlie's Mom tells him she has cancer. The gang tries to help her out, each in their own way. Meanwhile, Frank thinks his mind may be slipping.    "
S8, Ep7,Frank's Back in Business,            29 Nov. 2012    ,8.1,"Under threat of a hostile takeover, the board of Frank's old company calls him back to run the company. As before, Frank maximizes the company's product: money. Dennis, Mac and Dee find Phillies VIP tickets and find themselves in a business deal of their own.    "
S8, Ep8,Charlie Rules the World,            6 Dec. 2012    ,8.3,"The gang starts playing an online video game and Charlie becomes obsessed with becoming the best player in the game. Meanwhile, Dennis is upset everyone else is playing the game all the time and not out enjoying the real world.    "
S8, Ep9,The Gang Dines Out,            13 Dec. 2012    ,9.0,The gang turns up at the same restaurant for dinner at three different tables. They pretend not to notice they noticed they are noticing each other. Then the one-upmanship begins.    
S8, Ep10,Reynolds vs. Reynolds: The Cereal Defense,            20 Dec. 2012    ,9.0,"When Frank accidentally hits Dennis's car while Dennis is eating cereal, Frank and Dennis go to the Paddy's Pub court to face off on who will pay for the damages.    "
S9, Ep1,The Gang Broke Dee,            4 Sep. 2013    ,8.8,"Dee embraces the desperate, self-loathing qualities the guys have beaten her into over the years, sending her stand-up comedy to unexpected places.    "
S9, Ep2,Gun Fever Too: Still Hot,            11 Sep. 2013    ,8.2,"After Frank appears on TV advocating gun ownership, the rest of the gang takes a look at the ownership process and alternatives to find common ground.    "
S9, Ep3,The Gang Tries Desperately to Win an Award,            18 Sep. 2013    ,9.2,The gang attempts to win the award for Philidelphia's Best Bar.    
S9, Ep4,Mac and Dennis Buy a Timeshare,            25 Sep. 2013    ,8.0,"After making some very questionable investment choices, the gang try to dump their losses on Ben The Soldier while they look for the man who is pulling their strings.    "
S9, Ep5,Mac Day,            2 Oct. 2013    ,8.6,Each member of the gang gets one day to do whatever they want while the rest of the gang must participate. This is Mac's day.    
S9, Ep6,The Gang Saves the Day,            9 Oct. 2013    ,9.0,"When the gang find themselves in the middle of a robbery at a local convenience store, they all imagine what will happen next.    "
S9, Ep7,The Gang Gets Quarantined,            16 Oct. 2013    ,8.7,When a severe flu outbreak sweeps Philadelphia the gang voluntarily quarantine themselves inside of Paddy's.    
S9, Ep8,Flowers for Charlie,            23 Oct. 2013    ,8.7,"When an experiment successfully multiplies Charlie's intellect and takes him away from the bar, the rest of the gang find themselves struggling to complete the menial 'Charlie Work' that has kept the bar running for so long.    "
S9, Ep9,The Gang Makes Lethal Weapon 6,            30 Oct. 2013    ,8.1,"After creative differences over what constitutes tasteful nudity cause Frank to pull his money out of Lethal Weapon 6 during filming, Mac, Dennis, and Charlie screen their rough footage for investors in hopes of raising enough capital to finish the production of their latest masterpiece.    "
S9, Ep10,The Gang Squashes Their Beefs,            6 Nov. 2013    ,8.2,"When some bad blood with old foes compromises their ideal Thanksgiving, the gang decides to make amends by breaking bread with those they've hurt.    "
S10, Ep1,The Gang Beats Boggs,            14 Jan. 2015    ,8.7,The gang try to beat a record set by Wade Boggs of 70 beers on a cross-country flight.    
S10, Ep2,The Gang Group Dates,            21 Jan. 2015    ,8.7,The gang decides to start a group dating service at Paddy's.    
S10, Ep3,Psycho Pete Returns,            28 Jan. 2015    ,7.5,"Mac and Charlie are excited for the return of their old high school friend, Pete, while the rest of the gang fears for his psychotic behavior.    "
S10, Ep4,Charlie Work,            4 Feb. 2015    ,9.8,Charlie is determined to make sure Paddy's Pub passes its health inspection.    
S10, Ep5,The Gang Spies Like U.S.,            11 Feb. 2015    ,8.2,"When Dennis and Mac send Dee to spy on the fish factory across the street, Frank and Charlie become suspicious themselves.    "
S10, Ep6,The Gang Misses the Boat,            18 Feb. 2015    ,8.8,The gang decides to spend some time apart in order to find out who they really are.    
S10, Ep7,Mac Kills His Dad,            25 Feb. 2015    ,8.0,"After Mac's dad is suspected of murder, Mac sets out to clear his father of any wrong doing.    "
S10, Ep8,The Gang Goes on Family Fight,            4 Mar. 2015    ,9.0,"When the gang appears on a nationally broadcast game show, Dennis does his best to make a good impression.    "
S10, Ep9,Frank Retires,            11 Mar. 2015    ,8.1,"When Frank decides to retire, the gang fights over who gets to be in charge of the bar.    "
S10, Ep10,Ass Kickers United: Mac and Charlie Join a Cult,            18 Mar. 2015    ,7.5,Mac and Charlie become brainwashed by a cult.    
S11, Ep1,Chardee MacDennis 2: Electric Boogaloo,            6 Jan. 2016    ,8.6,The foursome demonstrate Chardee MacDennis for an interested board game executive.    
S11, Ep2,Frank Falls Out the Window,            13 Jan. 2016    ,8.0,"After falling out of the window, Frank thinks that it's 2006; the other three see this as a do-over.    "
S11, Ep3,The Gang Hits the Slopes,            20 Jan. 2016    ,8.5,"Dennis and Frank square off against Dee and Mac for control of the mountain, while Charlie learns that the slopes have their own set of rules.    "
S11, Ep4,Dee Made a Smut Film,            27 Jan. 2016    ,7.6,"The Gang debates modern art after seeing Dee in a smut film; Mac and Charlie enlist the help of Frank and Cricket in order to prove that modern art is worthless, whilst Dee and Dennis adapt his erotic memoirs to prove that it isn't.    "
S11, Ep5,Mac & Dennis Move to the Suburbs,            3 Feb. 2016    ,9.4,Dennis and Mac head to the suburbs for cheap rent and open spaces but quickly find out that they are meant for city life.    
S11, Ep6,Being Frank,            10 Feb. 2016    ,8.3,A day in the life of Frank Reynolds as he tries to keep up with the gang's newest scheme.    
S11, Ep7,McPoyle vs. Ponderosa: The Trial of the Century,            17 Feb. 2016    ,8.6,Liam McPoyle teams up with the lawyer to sue Bill Ponderosa for his lost eye; old grievances resurface.    
S11, Ep8,Charlie Catches a Leprechaun,            24 Feb. 2016    ,8.5,"Dennis tries to create an innovative mobile Paddy's pub experience but runs into trouble when customers refuse to cooperate, while Charlie and Mac attempt to catch a thieving leprechaun.    "
S11, Ep9,The Gang Goes to Hell,            2 Mar. 2016    ,8.4,"The gang board a Christian cruise liner under upon Mac's request, to soon find out that it does not cater to their sinful ways.    "
S11, Ep10,The Gang Goes to Hell: Part Two,            9 Mar. 2016    ,8.4,The gang gets real with one another in the face of death.    
S12, Ep1,The Gang Turns Black,            4 Jan. 2017    ,8.5,"After an electric heating blanket shorts out while the gang watches The Wiz, they look in the mirror and realize they've turned black. They have to work out how to get back to being themselves by going through all the classic body switching shenanigans.    "
S12, Ep2,The Gang Goes to a Water Park,            11 Jan. 2017    ,9.5,"The gang takes a trip to a local waterpark, ripe with personal agendas and ulterior motives. Dennis feeds off his mantra of ""the park provides"" and takes on a protégé. Frank and Charlie are determined to ride every ride by any means necessary and Mac and Dee get stuck in a tube slide for most of the day.    "
