seasons,episode,title,airdate,rating,desc
S13, Ep5,The Gang Gets New Wheels,            3 Oct. 2018    ,8.9,"Dee gets in with a group of cool, rich housewives. Dennis hits it off with some everyday blue-collar bros. Frank struggles to renew his license, and Charlie and Mac deal with a new generation of bicycle bullies.    "
S13, Ep6,The Gang Solves the Bathroom Problem,            10 Oct. 2018    ,8.3,"Jimmy Buffett is in town and the positive vibes are alive at the bar. However, when Mac comes out of the women's bathroom, no one can leave until the bathroom situation is solved.    "
S13, Ep7,The Gang Does a Clip Show,            17 Oct. 2018    ,7.5,"With nothing to do while their phones update to the latest software, the gang decides to reminisce on old times; as everyone misremembers events from their past, the gang's current reality becomes altered.    "
S13, Ep8,Charlie's Home Alone,            24 Oct. 2018    ,6.8,"It's the weekend of Super Bowl LII from Charlie's perspective. While Charlie searches the back office, Cricket steals the suit leaving Charlie home alone to defend himself.    "
S13, Ep9,The Gang Wins the Big Game,            31 Oct. 2018    ,7.0,It's the most important weekend of their lives and Frank has treated the gang and a crew of their ragtag hangers-on with tickets to see the Eagles in the Super Bowl!    
S13, Ep10,Mac Finds His Pride,            7 Nov. 2018    ,8.5,Frank tries to recruit Mac for the gang's float for the Gay Pride Parade; Frank comes to the realization that Mac will never be secure with his sexual identity unless he comes out to his father.    
S14, Ep1,The Gang Gets Romantic,            25 Sep. 2019    ,8.0,"Mac concocts a scheme to attract single women to rent Dennis's bedroom while Frank and Charlie make similar plans to draw in young European coeds, but neither ad attracts their intended target.    "
S14, Ep2,Thunder Gun 4: Maximum Cool,            2 Oct. 2019    ,7.9,The Gang finds themselves in the middle of a focus group after a screening of Thunder Gun 4: Maximum Cool.    
S14, Ep3,Dee Day,            9 Oct. 2019    ,8.3,"The guys are in the final preparation stage for an unknown scheme when Dee excitedly enters to inform them that today is ""Dee Day"" and the guys must do everything she wants without complaint.    "
S14, Ep4,The Gang Chokes,            16 Oct. 2019    ,8.1,"Annoyed that the Gang failed to react as he nearly choked to death on an appetizer, Frank decides the Waiter, his savior, is the only person who has his back.    "
S14, Ep5,The Gang Texts,            23 Oct. 2019    ,8.1,"During their trip to the Philadelphia Zoo, Mac sets up a group text for The Gang that leads to confusion.    "
S14, Ep6,The Janitor Always Mops Twice,            30 Oct. 2019    ,8.5,"In the black-and-white noir world of his memory, Charlie navigates the seedy underbelly of Philadelphia as Frank has been ""diarrhea poisoned,"" and it's up to Charlie to clean up the mess.    "
S14, Ep7,The Gang Solves Global Warming,            6 Nov. 2019    ,8.1,"As a record-breaking heat wave overtakes Philly, the Gang plans to profit from global warming by pumping up the A/C so people will congregate at Paddy's and save energy at home.    "
S14, Ep8,Paddy's Has a Jumper,            13 Nov. 2019    ,8.4,"While a suicidal man threatens to jump off Paddy's pub, the gang wonders whether they should help the poor man or let him fall to his death.    "
S14, Ep9,A Woman's Right to Chop,            20 Nov. 2019    ,8.0,"When a trendy new hair salon opens up right next door to Paddy's, Dennis and Frank go on the offensive to stop women from cutting off their hair. Meanwhile, Mac is reunited with his childhood dog Poppins.    "
S14, Ep10,Waiting for Big Mo,            20 Nov. 2019    ,7.7,"Dennis and Charlie stand guard at the entrance to their laser tag base waiting to ambush the legendary ""Big Mo,"" but Dennis begins to ponder the reasons they play laser tag and if their pursuit of a victory is worth their effort.    "
S15, Ep1,2020: A Year In Review,            1 Dec. 2021    ,8.0,The gang looks back on 2020 to justify their numerous PPP loans as they contributed to the chaos of the past political year way more than anyone could have imagined.    
S15, Ep2,The Gang Makes Lethal Weapon 7,            1 Dec. 2021    ,7.8,"Upon discovering that their self-made Lethal Weapon sequels have been pulled from the local library, the Gang decides to address their political incorrectness by making another film: Lethal Weapon 7.    "
S15, Ep3,The Gang Buys a Roller Rink,            8 Dec. 2021    ,7.6,"In the past, an innocent Dennis learns the horrifying details of Frank's business, a truly sweet Dee is excited to head off for Hollywood, while Charlie and Mac's jobs at the roller rink are in jeopardy.    "
S15, Ep4,The Gang Replaces Dee With a Monkey,            8 Dec. 2021    ,8.2,"When the Gang suspects Dee is menopausal, they scramble to find a new employee for Paddy's Pub; Dee decides to put her acting career on hold in order to mentor young actors.    "
S15, Ep5,The Gang Goes to Ireland,            15 Dec. 2021    ,8.2,"The gang's in Dublin where Dennis ends up helping Frank with some of his business's dirty work; Mac and Charlie learn about their Irish heritage; Dee rushes to the set of an Irish soap opera, where she will play an ""Obnoxious American MILF.""    "
S15, Ep6,The Gang's Still in Ireland,            15 Dec. 2021    ,8.6,Dennis and Dee explore their new accommodations in the countryside; Frank accompanies Charlie to find the truth about Charlie's Irish childhood pen pal; Mac has an identity crisis and decides to join the seminary.    
S15, Ep7,Dee Sinks in a Bog,            22 Dec. 2021    ,8.0,Mac spends a day at the seminary to truly understand what it takes to become a priest; Dennis and Frank plan an elaborate trap to humiliate Charlie's pen pal; Dee prepares for a date with an Irish doctor; Charlie bonds with his pen pal.    
S15, Ep8,The Gang Carries a Corpse Up a Mountain,            22 Dec. 2021    ,8.8,"The Gang attempts to ascend a mountain in order for Charlie to fulfill an old and mysterious Irish burial tradition; one by one, the Gang backs out until Charlie is left to honor the dead body alone.    "
